用户ID,用户昵称,用户头像地址,评论时间,点赞总数,评论内容
246079710,苏丽麻乃,http://p1.music.126.net/K8YDfdBFwut66GCorRoIFw==/109951163058501669.jpg,1459483744288,21684,【寻人启事】姓名：张国荣，于2003年4月1日离家，身高：1.75m.有着最优雅的微笑，有着天使般的面孔，有着天籁般的歌喉，有着美好的心灵，右腿膝盖有块胎记，离家时身着杏色西装，至今未归，若你见到他，请告诉他：我们都爱他，都在等他，说好一辈子的。
84275005,荣妹啊,http://p1.music.126.net/oEA_2w19jew4kltJn0-X3g==/19041342370306990.jpg,1461221657936,15047,张国荣在香港杜莎夫人蜡像馆是唯一一个陈列在伟人馆的明星，与英女皇等政要一起。张国荣是第一个收入«辞海»的明星。这些不是荣迷跟风吹出来的
248453448,冯小朋友的董胖子,http://p1.music.126.net/QQXwYUHzEvHDxL1Wvf5AQw==/1393081242241016.jpg,1459864181184,11868,“你以后想成为什么人？” “为什么，难道我以后就就不能成为我自己么？”
71620352,深海中的鯨魚Alice,http://p1.music.126.net/jJlwiwSg2YjD6p13p14HHA==/19165587184208764.jpg,1487850743532,8540,世人对张国荣最大的尊重， 莫过于百度百科里， 把他爱人那一栏填上了“唐鹤德”的名字。
73092748,ChingKwok,http://p1.music.126.net/_OblqyD-l9_pFCwWvHkgSw==/109951163561866680.jpg,1453012285661,7998,没能亲眼见证你的时代 总算没能错过你的所有作品
86723797,鲲生鹏,http://p1.music.126.net/YIGGkPFXhemPSsRZ7j0hBA==/19132601835406755.jpg,1460369542494,7847,哥哥只写了五个字给夕爷：i am what i am。夕爷就明白哥哥的意思了，于是写下了这首歌。高山流水讲的差不多也不外乎这个了[流泪][流泪]
7005952,德国心脏病,http://p1.music.126.net/_iz8Oo-BQ9zJPC4y9Q7tOg==/3240260768710095.jpg,1414921541183,5727,我是什麼  哥哥 總覺得國語版本的更讚！😢很想你
87202437,侧耳倾听好声音,http://p1.music.126.net/KOB4qQ9HQUq6G10ZfLCEiA==/3345813884320274.jpg,1449785740513,5144,你聪明会有人说你心机重，你努力会有人说你运气好，你天生乐观有人会说你虚情假意，有时候，你明明就是一杯白水，却被人硬生生逼成了满肚子憋屈的碳酸饮料。人一生遇见太多人，只要内心澄明，就永远不用讨好一个不懂你的人。
30995253,33IVAN,http://p1.music.126.net/uKcRxprVkqzV9MDp6gvobw==/18544363116125849.jpg,1459555208293,4736,世间再无愚人节，一生一个张国荣
47451169,James占,http://p1.music.126.net/tUa-4RDE4FRigInPoDsy0A==/2941193604485238.jpg,1420147198132,3581,夜晚只有你的歌声能陪伴我
33208695,贾斯汀小土豆,http://p1.music.126.net/shguyWudhkfO5CJU1DNftA==/109951163564510787.jpg,1524269336700,3001,同性恋是汪洋大海中的一块小岛，是一个集体中的少数人。我为自己同性恋的身份感到无比的自豪，因为是它告诉了我何谓勇敢和坚强，是它带给了我争取平等权益的力量；我为我的父母感到高兴，因为是偏见和歧视让我更努力地生活。这一切的一切都让我活得更真实。因为没有什么比坦诚面对自己更重要的了。 
49345232,继续至尊,http://p2.music.126.net/ChmgIDimugIs8FMzAo1BOQ==/18756568859877838.jpg,1428074792035,21362,只有没听过的，听过的没有不喜欢的
74940933,whereiswc,http://p2.music.126.net/iwmuYX-vZQw6h3HCRJRCcw==/7807632069856277.jpg,1435935000722,13626,就是你，姓张的，我知道你唱错词了，不要捂脸，不要卖萌，没用[发怒]！哦，你不要笑，不要抓头！好了好了算了[色][色]
67849566,不废柴,http://p2.music.126.net/E5SwJH2lUyZ6JoxWmPXmjw==/18799449813476806.jpg,1437485362097,11766,张国荣在毛舜筠的访谈中说过，他唱歌前都要给这首歌编一个故事，唱的时候脑海中浮现故事中的画面，这种画面感会使他唱得更加投入。用他的话说就是，他的每一首歌都投入了好多感情在里面。我想这才是他能把歌诠释得动人的原因吧。再好的唱功、再完美的声线，也抵不过如此专注的声音。
74934110,LUI_,http://p2.music.126.net/ZwMIKWPX5MYVuXFFdyjKpw==/1398578796810107.jpg,1447850928584,9778,每个爱Eason的人心中藏在不知一个张国荣。
2500210,Oopsxiaoxiong,http://p2.music.126.net/XM1BpqA_nR746MO0EdxCww==/3383197280418827.jpg,1424737368338,6115,哥哥，拉阔演唱会上你萌爆了，你知不知啊！[吐舌][亲亲]
40376463,流非飛飛飛,http://p2.music.126.net/3PT5VHAu35t1V8bCza__xA==/109951163300354209.jpg,1448603197260,6009,爸爸昨天开车的时候在哼这首歌，爸爸说好想张国荣啊，恩，我要给我爸爸做个歌单让他听。
